AR2227,History & Theory of Architecture I,https://nusmods.com/modules/AR2227/history-theory-of-architecture-i
AR2327,Architectural Tectonics,https://nusmods.com/modules/AR2327/architectural-tectonics
AR2328,Architectural Construction & Tectonics,https://nusmods.com/modules/AR2328/architectural-construction-tectonics
AR2522,Computational Thinking: Performance Based Design,https://nusmods.com/modules/AR2522/computational-thinking-performance-based-design
AR2524,Spatial Computational Thinking,https://nusmods.com/modules/AR2524/spatial-computational-thinking
AR2723,Strategies for Sustainable Architecture,https://nusmods.com/modules/AR2723/strategies-for-sustainable-architecture
AR3101,Design 5,https://nusmods.com/modules/AR3101/design-5
AR3101A,Design 5 (Landscape Architecture Emphasis),https://nusmods.com/modules/AR3101A/design-5-landscape-architecture-emphasis
AR3102,Design 6,https://nusmods.com/modules/AR3102/design-6
AR3102A,Design 6 (Landscape Architecture Emphasis),https://nusmods.com/modules/AR3102A/design-6-landscape-architecture-emphasis
AR3151,Design - ISM,https://nusmods.com/modules/AR3151/design-ism
AR3223,Introduction to Urbanism,https://nusmods.com/modules/AR3223/introduction-to-urbanism
AR3412,Work Experience Internship,https://nusmods.com/modules/AR3412/work-experience-internship
AR3721,Building Environmental System Modelling,https://nusmods.com/modules/AR3721/building-environmental-system-modelling
AR4002,Advanced Architectural Study 2,https://nusmods.com/modules/AR4002/advanced-architectural-study-2
AR4421,Architecture Internship Programme,https://nusmods.com/modules/AR4421/architecture-internship-programme
AR4955,Topics in Architectural Design,https://nusmods.com/modules/AR4955/topics-in-architectural-design
AR5011,Research Methodology,https://nusmods.com/modules/AR5011/research-methodology
AR5121,Special Topics in Technology,https://nusmods.com/modules/AR5121/special-topics-in-technology
AR5221,Contemporary Theories,https://nusmods.com/modules/AR5221/contemporary-theories
AR5321,Advanced Architectural Integration,https://nusmods.com/modules/AR5321/advanced-architectural-integration
AR5423,Architectural Practice,https://nusmods.com/modules/AR5423/architectural-practice
AR5601,Urban Design Theory and Praxis,https://nusmods.com/modules/AR5601/urban-design-theory-and-praxis
AR5770,Graduate Seminar,https://nusmods.com/modules/AR5770/graduate-seminar
AR5801,Options Design Research Studio 1,https://nusmods.com/modules/AR5801/options-design-research-studio-1
AR5802,Options Design Research Studio 2,https://nusmods.com/modules/AR5802/options-design-research-studio-2
AR5803,Architectural & Technology Design 1,https://nusmods.com/modules/AR5803/architectural-technology-design-1
AR5804,Architectural & Technology Design 2,https://nusmods.com/modules/AR5804/architectural-technology-design-2
AR5805,Advanced Architecture Studio,https://nusmods.com/modules/AR5805/advanced-architecture-studio
AR5806,Architectural Design Research Report,https://nusmods.com/modules/AR5806/architectural-design-research-report
AR5807,Architectural Design Thesis,https://nusmods.com/modules/AR5807/architectural-design-thesis
AR5808,Final Design Project,https://nusmods.com/modules/AR5808/final-design-project
AR5951A,Topics in History and Theory of Architecture 1,https://nusmods.com/modules/AR5951A/topics-in-history-and-theory-of-architecture-1
AR5951B,Topics in History & Theory of Architecture 2,https://nusmods.com/modules/AR5951B/topics-in-history-theory-of-architecture-2
AR5951C,Topics in History and Theory of Architecture 3,https://nusmods.com/modules/AR5951C/topics-in-history-and-theory-of-architecture-3
AR5951F,Topics in History & Theory of Architecture 6,https://nusmods.com/modules/AR5951F/topics-in-history-theory-of-architecture-6
AR5951G,Topics in History and Theory of Architecture 7,https://nusmods.com/modules/AR5951G/topics-in-history-and-theory-of-architecture-7
AR5951H,Topics in History and Theory of Architecture 8,https://nusmods.com/modules/AR5951H/topics-in-history-and-theory-of-architecture-8
AR5952A,Topics in Urbanism 1,https://nusmods.com/modules/AR5952A/topics-in-urbanism-1
AR5952B,Topics in Urbanism 2,https://nusmods.com/modules/AR5952B/topics-in-urbanism-2
AR5952C,Topics in Urbanism 3,https://nusmods.com/modules/AR5952C/topics-in-urbanism-3
AR5952H,Topics in Urbanism 8,https://nusmods.com/modules/AR5952H/topics-in-urbanism-8
